id,eventoId,valor,qrCodeUrl,chavePix,nomeRecebedor,ativo,createdAt,updatedAt
1,240001,"R$ 180,00",assets/images/qrcode-pix.jpg,00020101021126790014BR.GOV.BCB.PIX2557pix-qr.mercadopago.com/instore/ol/v2/rYX57hYoVJLBJJ6auaG35204000053039865802BR5925CRUZADA NACIONAL DE EVANG6009SAO PAULO62080504mpis630462C4,Cruzada Nacional de Evangelização,0,2026-03-20 04:33:25,2026-03-20 04:33:25
2,240001,"R$ 180,00",file:///var/mobile/Containers/Data/Application/50D9F49D-507A-4BC2-89F7-D8DE7479C6C1/Library/Caches/ExponentExperienceData/@willsantoss/igreja-app/DocumentPicker/D732E81F-7FE4-49B3-8772-A96555D1AAAC.JPG,00020101021126790014BR.GOV.BCB.PIX2557pix-qr.mercadopago.com/instore/ol/v2/rYX57hYoVJLBJJ6auaG35204000053039865802BR5925CRUZADA NACIONAL DE EVANG6009SAO PAULO62080504mpis630462C4,Cruzada Nacional de Evangelização,1,2026-03-20 04:42:55,2026-03-20 04:42:55
30001,120002,"R$ 180,00",file:///var/mobile/Containers/Data/Application/50D9F49D-507A-4BC2-89F7-D8DE7479C6C1/Library/Caches/ExponentExperienceData/@willsantoss/igreja-app/DocumentPicker/10D1AC92-3E99-44C4-9E14-8D31DF5C3931.JPG,00020101021126790014BR.GOV.BCB.PIX2557pix-qr.mercadopago.com/instore/ol/v2/rYX57hYoVJLBJJ6auaG35204000053039865802BR5925CRUZADA NACIONAL DE EVANG6009SAO PAULO62080504mpis630462C4,Cruzada Nacional de Evangelização,1,2026-03-20 16:00:50,2026-03-20 16:00:50
